name,quantity,cost_price,unit_price,category,location
BEAR BRAND FORTIFIED 320G,2,116,140,OTHERS,
ENERGEN,0,7.89,10,OTHERS,
MILO,0,6.98,10,OTHERS,
NESCAFE 3IN 1,0,12,14,OTHERS,
GREAT TASTE WHITE,0,12,14,OTHERS,
PIATTOS,0,12,18,OTHERS,
KERIE SMALL,0,5.6,18,OTHERS,
SWEET CORN 60G,0,17,20,OTHERS,
DING DONG,0,18.3,25,OTHERS,
BREAD PAN,0,12,15,OTHERS,
FITA,0,6,8,OTHERS,
SKYFLAKES,0,6,8,OTHERS,
PANCIT CANTON,0,14,17,OTHERS,
CUP NOODLES,0,22.5,25,OTHERS,
CUP NOODLES SOTANGHON,0,27,30,OTHERS,
